cats,subcats,deepdives
music,concerts;modular synthesis;drumming;creativity,MIDI sequencers;mutable instruments;hardware samplers;tiny concert venues;sound installations;ebay kleinanzeigen;
travel,home exchange;visiting new countries;train travel;camping,sleeping on trains;trans-siberian railway;qinghai;israel & palastine;japan;south-east asia;
cooking,sichaunese food;reducing food waste;wok cooking;fermentation,hand-pulled noodles;kibbe & manakish;chilli bean paste;preserving lemons;sesame oil;twice-cooked pork;
cycling,with family;with cargobikes;with folding bikes;instead of driving,hitch-biking;cycle-camping;on berliner mauerweg;on elbe radweg;in northern japan;along taiwanese coast;
podcasts,comedy;discussion;long-form;statistics,not so standard deviations;sinica;broken record;what had happened was;making sense;why we bleep
